96762636172307789/2051985304794103980	117807213929927/2640907728177740
0	0
0	0
312188947591288252500000/1212357694274963646019729	4758744518816629500000/17812069906509312711137
13550580884964304000000000000/51686919683339547115937980629	1730775233574080000000000/7863520414322158392809673
72367769693133178898676076432831566019684378142853445230956642801/475600216991873963561768100160364792981629064220601844848928537580	2682653613028767167314032381891560552585218935572349997/12258338284789875762081637252125169126464880985167722660
1619421054120605468750/3278200730370057108183	40977117022675781250/178949401077111131341
-66898316144057728000/227310933007074849597	0
181081444637946577/2226845467039736466	0
0	2152106665253777/106040260335225546
