i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.233030771227451,.616840674667528
3,1.396263401595464,.467273545964155,-.516288140489608
4,2.094395102393195,-.479438300891063,-.670541066157400
5,2.792526803190927,.542749508607977,.155674357555020
6,3.490658503988659,-.382080108522094,3.239479374114971
7,4.188790204786391,-.894823992067514,1.105989260713407
8,4.886921905584122,-.948266118464757,1.537544297823772
9,5.585053606381854,-1.727848466280562,5.446631632795445
10,6.283185307179586,-3.433618011839821,-1.300630980313157
