i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234147059496322,.616840674667528
3,1.396263401595464,.464603193924799,-.516288140489608
4,2.094395102393195,-.473789326985455,-.670541066157400
5,2.792526803190927,.499719170431368,.155674357555020
6,3.490658503988659,-.187057863330527,3.239479374114971
7,4.188790204786391,-.485109218238019,1.105989260713407
8,4.886921905584122,-.480047985849337,1.537544297823772
9,5.585053606381854,-.114083227667759,5.446631632795445
10,6.283185307179586,.505985332618072,-1.300630980313157
