i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159658020669,.616840674667528
3,1.396263401595464,.464563155829808,-.516288140489609
4,2.094395102393194,-.473682658354304,-.670541066157406
5,2.792526803190923,.499226354498528,.155674357555089
6,3.490658503988656,-.186243117599731,3.239479374114938
7,4.188790204786394,-.482277163230698,1.105989260713523
8,4.886921905584127,-.474645851346113,1.537544297823971
9,5.585053606381860,-.110649021664169,5.446631632795524
10,6.283185307179592,.489274888507592,-1.300630980313639
