i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159759267982,.616840674667528
3,1.396263401595463,.464562826305960,-.516288140489605
4,2.094395102393194,-.473681780850715,-.670541066157410
5,2.792526803190921,.499222469774161,.155674357555109
6,3.490658503988656,-.186237184605717,3.239479374114938
7,4.188790204786394,-.482256483036940,1.105989260713523
8,4.886921905584125,-.474608143869221,1.537544297823888
9,5.585053606381856,-.110628266661037,5.446631632795473
10,6.283185307179587,.489170275631356,-1.300630980313201
