i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159336870011,.616840674667528
3,1.396263401595464,.464564197790788,-.516288140489608
4,2.094395102393195,-.473685433610446,-.670541066157400
5,2.792526803190924,.499238708944325,.155674357555074
6,3.490658503988658,-.186262177417472,3.239479374114961
7,4.188790204786392,-.482343574216977,1.105989260713465
8,4.886921905584121,-.474767610195582,1.537544297823689
9,5.585053606381855,-.110717158605561,5.446631632795459
10,6.283185307179584,.489616970164097,-1.300630980312939
