i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159759267984,.616840674667528
3,1.396263401595464,.464562826305705,-.516288140489608
4,2.094395102393195,-.473681780852110,-.670541066157400
5,2.792526803190927,.499222469826705,.155674357555020
6,3.490658503988659,-.186237184662057,3.239479374114971
7,4.188790204786391,-.482256483993142,1.105989260713407
8,4.886921905584122,-.474608146321686,1.537544297823772
9,5.585053606381854,-.110628254729594,5.446631632795445
10,6.283185307179586,.489170292688430,-1.300630980313157
