i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159760317474,.616840674667528
3,1.396263401595464,.464562810123601,-.516288140489608
4,2.094395102393195,-.473681693856847,-.670541066157400
5,2.792526803190927,.499223201591169,.155674357555020
6,3.490658503988659,-.186246945539188,3.239479374114971
7,4.188790204786391,-.482312300860838,1.105989260713407
8,4.886921905584122,-.474845815002156,1.537544297823772
9,5.585053606381854,-.111691446111438,5.446631632795445
10,6.283185307179586,.488622748830414,-1.300630980313157
