i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234158131485579,.616840674667528
3,1.396263401595464,.464568087754180,-.516288140489608
4,2.094395102393195,-.473695797224417,-.670541066157400
5,2.792526803190926,.499285284848322,.155674357555040
6,3.490658503988659,-.186335293016475,3.239479374114966
7,4.188790204786391,-.482598176270686,1.105989260713436
8,4.886921905584120,-.475238907225710,1.537544297823639
9,5.585053606381853,-.110988772575892,5.446631632795417
10,6.283185307179585,.490970998270969,-1.300630980313070
