i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234094160736438,.616840674667528
3,1.396263401595464,.464764262422553,-.516288140489608
4,2.094395102393195,-.474216274120434,-.670541066157400
5,2.792526803190927,.501851950215794,.155674357555020
6,3.490658503988659,-.191153959588991,3.239479374114971
7,4.188790204786391,-.499268704334890,1.105989260713407
8,4.886921905584122,-.509694756242412,1.537544297823772
9,5.585053606381853,-.140653805069436,5.446631632795430
10,6.283185307179586,.623791291410814,-1.300630980313157
