i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159604892439,.616840674667528
3,1.396263401595463,.464563328474161,-.516288140489607
4,2.094395102393193,-.473683118146480,-.670541066157413
5,2.792526803190921,.499228395619318,.155674357555109
6,3.490658503988657,-.186246250543496,3.239479374114953
7,4.188790204786394,-.482288081503541,1.105989260713523
8,4.886921905584126,-.474665813366867,1.537544297823921
9,5.585053606381858,-.110660098743013,5.446631632795497
10,6.283185307179590,.489330613301400,-1.300630980313420
