i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234158975796139,.616840674667528
3,1.396263401595464,.464565365859193,-.516288140489608
4,2.094395102393195,-.473688545253572,-.670541066157400
5,2.792526803190925,.499252632975440,.155674357555055
6,3.490658503988660,-.186283863011127,3.239479374114973
7,4.188790204786391,-.482419108658848,1.105989260713436
8,4.886921905584121,-.474906817682251,1.537544297823689
9,5.585053606381855,-.110796299323768,5.446631632795459
10,6.283185307179584,.490012796670557,-1.300630980313026
