i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159511857033,.616840674667528
3,1.396263401595463,.464563630505778,-.516288140489606
4,2.094395102393194,-.473683922577384,-.670541066157406
5,2.792526803190922,.499231972832284,.155674357555104
6,3.490658503988656,-.186251758510702,3.239479374114943
7,4.188790204786392,-.482307274518482,1.105989260713465
8,4.886921905584123,-.474700964318939,1.537544297823805
9,5.585053606381854,-.110679705145161,5.446631632795445
10,6.283185307179585,.489429124641020,-1.300630980313070
