i,t,y1,dy1
1,.000000000000000,.000000000000000,.000000000000000
2,.698131700797732,.234159759267982,.616840674667528
3,1.396263401595464,.464562826305958,-.516288140489608
4,2.094395102393195,-.473681780850732,-.670541066157400
5,2.792526803190926,.499222469774667,.155674357555040
6,3.490658503988659,-.186237184606111,3.239479374114966
7,4.188790204786391,-.482256483045167,1.105989260713436
8,4.886921905584120,-.474608143888613,1.537544297823639
9,5.585053606381853,-.110628266554999,5.446631632795417
10,6.283185307179585,.489170275743737,-1.300630980313070
